Date,Keywords
01-30-2020,monster,words,
02-28-2020,deadly virus,democrats,
03-30-2020,better time,Health Workers Study,
04-29-2020,Emergency Use Authorizations,cities of Chengdu,
05-30-2020,Office Renewal,American reality TV,
06-29-2020,Today's COVID,
07-30-2020,Roadmap,children,
08-30-2020,entire world,,
09-29-2020,Georgia HS Basketball,Elevator Anxiety,
10-30-2020,Manufacturing Space,vital public health step,
11-29-2020,Small Towns,Al lote,
12-30-2020,second COVID-19 dose,mom's home,
01-30-2021,UK https://t.co/FwrqKpJ1mv Talk,mortality rates,
02-27-2021,COVID-19 vaccine,Johnsons COVID-19,
03-30-2021,Tips,only way,
04-29-2021,Former PM Manmohan Singh,@ekta199mishra,
05-23-2021,@EmiliaHerault @ianmSC @TracyBethHoeg @PhilHollowayEsq,lame excuse,
